Photo,Isomeric_SMILES,SMILES_without_chirality
35,CC(C)(C)OC(=O)N1CCC2(CC1)C[C@@]21C(=O)Nc2ccccc21,CC(C)(C)OC(=O)N1CCC2(CC1)CC21C(=O)Nc2ccccc21
36,O=C1Nc2ccccc2[C@]12C[C@]21[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2,O=C1Nc2ccccc2C12CC21C2CC3CC(C2)CC1C3
37,O=C1Nc2ccccc2[C@]12CC2(COCc1ccccc1)COCc1ccccc1,O=C1Nc2ccccc2C12CC2(COCc1ccccc1)COCc1ccccc1
38,O=C1Nc2ccccc2[C@]12CC2(CCl)CCl,O=C1Nc2ccccc2C12CC2(CCl)CCl
39,O=C1Nc2ccccc2[C@]12CC21CCCC1,O=C1Nc2ccccc2C12CC21CCCC1
40,O=C1Nc2ccccc2[C@]12CC2(Cl)Cl,O=C1Nc2ccccc2C12CC2(Cl)Cl
41,O=C1Nc2ccccc2[C@@]12CC2(Cl)Cl,O=C1Nc2ccccc2C12CC2(Cl)Cl
42,CC=C=CC,CC=C=CC
43,CC=C=CC,CC=C=CC
44,CC(C)[C@@H](C)CC[C@@H](C)[C@H]1CC[C@H]2c3ccc4c(c3CC[C@]12C)CC[C@H](OC(C)(C)C)C4,CC(C)C(C)CCC(C)C1CCC2c3ccc4c(c3CCC21C)CCC(OC(C)(C)C)C4
45,C1=C\CCCCCC/1,C1=CCCCCCC1
46,C1=CCCCCCC1,C1=CCCCCCC1
47,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OCc1ccccc1,CC1CCC(C(C)C)C(OCc2ccccc2)C1
48,CC(C)(C)C=C=C1CCCNC1=O,CC(C)(C)C=C=C1CCCNC1=O
49,CC(C)C=C=C1CCCNC1=O,CC(C)C=C=C1CCCNC1=O
50,O=C1NCCCC1=C=CC1CCCC1,O=C1NCCCC1=C=CC1CCCC1
51,CCC=C=C1CCCNC1=O,CCC=C=C1CCCNC1=O
52,CC=C=C1CCCNC1=O,CC=C=C1CCCNC1=O
53,O=C1NCCCC1=C=CCC(F)(F)F,O=C1NCCCC1=C=CCC(F)(F)F
54,COC(=O)CCCC(C)=C=C1CCCNC1=O,COC(=O)CCCC(C)=C=C1CCCNC1=O
55,CC(C)(C)/C=C1/[C@H]2C=C[C@H](C2)[C@]12CCNC2=O,CC(C)(C)C=C1C2C=CC(C2)C12CCNC2=O
56,CC(C)(C)C=C=C1CCNC1=O,CC(C)(C)C=C=C1CCNC1=O
57,CC(C)(C)/C=C(\Br)[C@]1(Br)CCNC1=O,CC(C)(C)C=C(Br)C1(Br)CCNC1=O
58,CC(C)(C)C=C=C1CCNC1=O,CC(C)(C)C=C=C1CCNC1=O
59,CC(C)C=C=C1CCNC1=O,CC(C)C=C=C1CCNC1=O
60,O=C1NCCC1=C=CC1CCCC1,O=C1NCCC1=C=CC1CCCC1
61,CCCC=C=C1CCNC1=O,CCCC=C=C1CCNC1=O
62,O=C1NCCC1=C=CCc1ccccc1,O=C1NCCC1=C=CCc1ccccc1
63,C=CCC=C=C1CCNC1=O,C=CCC=C=C1CCNC1=O
64,O=C1CS(=O)c2ccccc2N1,O=C1CS(=O)c2ccccc2N1
65,[CH2]C(=O)Nc1ccccc1[S]=O,[CH2]C(=O)Nc1ccccc1[S]=O
66,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1
67,CCCCCCOc1cc(C(=O)Nc2ccccn2)cc(C(=O)N[C@@H](C)c2ccc(C(=O)c3ccccc3)cc2)c1,CCCCCCOc1cc(C(=O)Nc2ccccn2)cc(C(=O)NC(C)c2ccc(C(=O)c3ccccc3)cc2)c1
68,C=CCCOc1cc(=O)[nH]c2ccccc12,C=CCCOc1cc(=O)[nH]c2ccccc12
69,O=C1Nc2ccccc2[C@@]23OCC[C@@H]2C[C@@H]13,O=C1Nc2ccccc2C23OCCC2CC13
70,O=C1Nc2ccccc2[C@]23C[C@H](CCO2)[C@@H]13,O=C1Nc2ccccc2C23CC(CCO2)C13
71,C=CCCCc1cc(=O)[nH]c2ccccc12,C=CCCCc1cc(=O)[nH]c2ccccc12
72,O=C1Nc2ccccc2[C@@]23CCC[C@@H]2C[C@@H]13,O=C1Nc2ccccc2C23CCCC2CC13
73,C[C@]12CCC[C@]13c1ccccc1NC(=O)[C@@H]3C2,CC12CCCC13c1ccccc1NC(=O)C3C2
74,CC1(C)[C@H]2CCC[C@]23c2ccccc2NC(=O)[C@H]13,CC1(C)C2CCCC23c2ccccc2NC(=O)C13
75,CC[C@H]1[C@H]2CCC[C@]23c2ccccc2NC(=O)[C@H]13,CCC1C2CCCC23c2ccccc2NC(=O)C13
76,Cc1ccc(S(=O)(=O)N2C[C@@H]3C[C@@]4(C)C(=O)Nc5ccccc5[C@@]34C2)cc1,Cc1ccc(S(=O)(=O)N2CC3CC4(C)C(=O)Nc5ccccc5C34C2)cc1
77,C[C@]12COC[C@]13c1ccccc1NC(=O)[C@@H]3C2,CC12COCC13c1ccccc1NC(=O)C3C2
78,O=C1Nc2ccccc2[C@@]23COC[C@@H]2C[C@@H]13,O=C1Nc2ccccc2C23COCC2CC13
79,CC1(C)[C@H]2COC[C@]23c2ccccc2NC(=O)[C@H]13,CC1(C)C2COCC23c2ccccc2NC(=O)C13
80,CC1(C)CO[C@@]23c4ccccc4NC(=O)[C@@H]2C[C@@H]13,CC1(C)COC23c4ccccc4NC(=O)C2CC13
81,O=C1Nc2ccccc2[C@@]23OCCC[C@@H]2C[C@@H]13,O=C1Nc2ccccc2C23OCCCC2CC13
82,CC[C@H]1[C@H]2CCO[C@]23c2ccccc2NC(=O)[C@H]13,CCC1C2CCOC23c2ccccc2NC(=O)C13
83,C=CCCOc1cc(=O)[nH]c2ccccc12,C=CCCOc1cc(=O)[nH]c2ccccc12
84,O=C1Nc2ccccc2[C@@]23OCC[C@@H]2C[C@@H]13,O=C1Nc2ccccc2C23OCCC2CC13
85,C#C[CH2],C#C[CH2]
86,[CH]=C=C,[CH]=C=C
87,C#CCCC#C,C#CCCC#C
88,C#CCC=C=C,C#CCC=C=C
89,C=C=CC=C=C,C=C=CC=C=C
90,O=C1c2ccccc2C(=O)N1O,O=C1c2ccccc2C(=O)N1O
91,C[Si](C)(C)C#CC1(C2(C#C[Si](C)(C)C)CCCC2)CCCC1,C[Si](C)(C)C#CC1(C2(C#C[Si](C)(C)C)CCCC2)CCCC1
92,CC1CCCC(C#C[Si](C)(C)C)(C2(C#C[Si](C)(C)C)CCCC(C)C2)C1,CC1CCCC(C#C[Si](C)(C)C)(C2(C#C[Si](C)(C)C)CCCC(C)C2)C1
93,C[Si](C)(C)C#C/C1=C\CCCCCCCCCCCCC1,C[Si](C)(C)C#CC1=CCCCCCCCCCCCCC1
94,CC(C)=CCCC(C)(C#C[Si](C)(C)C)C(C)(C#C[Si](C)(C)C)CCC=C(C)C,CC(C)=CCCC(C)(C#C[Si](C)(C)C)C(C)(C#C[Si](C)(C)C)CCC=C(C)C
95,C=CCCC(C)(C#C[Si](C)(C)C)C(C)(C#C[Si](C)(C)C)CCC=C,C=CCCC(C)(C#C[Si](C)(C)C)C(C)(C#C[Si](C)(C)C)CCC=C
96,O=C1c2ccccc2C(=O)N1O[Cu]Cl,O=C1c2ccccc2C(=O)N1O[Cu]Cl
97,CC(C#C[Si](C)(C)C)(OO)C1CC1,CC(C#C[Si](C)(C)C)(OO)C1CC1
98,C=C(C)[C@@H]1C[C@H]2C[C@@]2(C)C(C#C[Si](C)(C)C)(OO)C1,C=C(C)C1CC2CC2(C)C(C#C[Si](C)(C)C)(OO)C1
99,CC(=C=C[Si](C)(C)C)C1CC1,CC(=C=C[Si](C)(C)C)C1CC1
100,CC1(C)CCCC(C)(C)N1O/C(=C/C=O)c1ccccc1,CC1(C)CCCC(C)(C)N1OC(=CC=O)c1ccccc1
101,OCC#Cc1ccccc1,OCC#Cc1ccccc1
102,CC1(C)CCCC(C)(C)N1OC(=C=CO)c1ccccc1,CC1(C)CCCC(C)(C)N1OC(=C=CO)c1ccccc1
103,c1ccc2c(c1)C[C@@H]1OC(C3(C4=N[C@@H]5c6ccccc6C[C@@H]5O4)CCCC3)=N[C@H]21,c1ccc2c(c1)CC1OC(C3(C4=NC5c6ccccc6CC5O4)CCCC3)=NC21
104,C=CC1CCC1C=C,C=CC1CCC1C=C
105,C=CC1CCC1C=C,C=CC1CCC1C=C
106,C=CC1CC=CCC1,C=CC1CC=CCC1
107,C=CC=C,C=CC=C
108,C=CC=C,C=CC=C
109,C=CC1CCC1C=C,C=CC1CCC1C=C
110,C=CC1CC=CCC1,C=CC1CC=CCC1
111,C=CC(=C)C,C=CC(=C)C
112,C=CC1(C)CCC1(C)C=C,C=CC1(C)CCC1(C)C=C
113,C=CC1(C)CCC1C(=C)C,C=CC1(C)CCC1C(=C)C
114,C=C(C)C1CCC1C(=C)C,C=C(C)C1CCC1C(=C)C
115,C/C1=C/CC/C(C)=C\CC1,CC1=CCCC(C)=CCC1
116,C/C1=C/CC/C=C(/C)CC1,CC1=CCCC=C(C)CC1
117,C=CC1(C)CC=C(C)CC1,C=CC1(C)CC=C(C)CC1
118,C=C(C)C1CC=C(C)CC1,C=C(C)C1CC=C(C)CC1
119,C=CC1CCC1C=C,C=CC1CCC1C=C
120,C=C(C)C1CCC=C(C)C1,C=C(C)C1CCC=C(C)C1
121,C=CC1(C)CCC=C(C)C1,C=CC1(C)CCC=C(C)C1
122,C=C/C=C\C,C=CC=CC
123,C=C/C=C/C,C=CC=CC
124,C/C=C/C1CCC1/C=C/C,CC=CC1CCC1C=CC
125,C/C=C\C1CCC1/C=C/C,CC=CC1CCC1C=CC
126,C/C=C\C1CCC1/C=C\C,CC=CC1CCC1C=CC
127,C=CC1C(C)CC1/C=C/C,C=CC1C(C)CC1C=CC
128,C=CC1C(C)CC1/C=C\C,C=CC1C(C)CC1C=CC
129,C=CC1C(C)C(C)C1C=C,C=CC1C(C)C(C)C1C=C
130,C=C(C)C(=C)C,C=C(C)C(=C)C
131,C=CC(=C)CCC=C(C)C,C=CC(=C)CCC=C(C)C
132,CC1=CC(=O)CC(C)(C)C1,CC1=CC(=O)CC(C)(C)C1
133,C1=CCCC=C1,C1=CCCC=C1
134,C1=CC2C3C=CCCC3C2CC1,C1=CC2C3C=CCCC3C2CC1
135,C1=CC2C3C=CCCC3C2CC1,C1=CC2C3C=CCCC3C2CC1
136,C1=CC2C3C=CCC3C2C1,C1=CC2C3C=CCC3C2C1
137,C1=C[C@H]2[C@@H](C1)[C@H]1C=C[C@@H]2C1,C1=CC2C3C=CC(C3)C2C1
138,C1=C[C@@H]2[C@H](C1)[C@H]1C=C[C@@H]2C1,C1=CC2C3C=CC(C3)C2C1
139,C1=CCC(C2C=CCC2)=C1,C1=CCC(C2C=CCC2)=C1
140,C[C@H]1C(=O)CC[C@@H]2[C@H]1C2(C)C,CC1C(=O)CCC2C1C2(C)C
141,CC1(C)CC(=O)C2(C)C=CC12,CC1(C)CC(=O)C2(C)C=CC12
142,O=C1C=CCC1,O=C1C=CCC1
143,CC1=CC=CC(C)(C)CC1=O,CC1=CC=CC(C)(C)CC1=O
144,CC1(C(Cl)(Cl)Cl)C=CC(=O)C=C1,CC1(C(Cl)(Cl)Cl)C=CC(=O)C=C1
145,CC1(C)CCCC12C=CC(=O)C=C2,CC1(C)CCCC12C=CC(=O)C=C2
146,CC1=C2[C@H]3OC(=O)[C@@H](C)C3CCC2(C)C=CC1=O,CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O
147,c1ccc2cc3c(ccc4ccccc43)cc2c1,c1ccc2cc3c(ccc4ccccc43)cc2c1
148,CC1=CCC(C(C)C)C=C1,CC1=CCC(C(C)C)C=C1
149,CC(C)C1C=CC2(C)C(C1)C1(C)C=CC(C(C)C)CC21,CC(C)C1C=CC2(C)C(C1)C1(C)C=CC(C(C)C)CC21
150,CC1=CC[C@H](C(C)C)C=C1,CC1=CCC(C(C)C)C=C1
151,C=CC1CCC2CC12,C=CC1CCC2CC12
152,C=CC1CCC1C=C,C=CC1CCC1C=C
153,C=CC1CCC1C=C,C=CC1CCC1C=C
154,C1=CC=CCC=C1,C1=CC=CCC=C1
155,C1=CCC1,C1=CCC1
156,C1C2CC12,C1C2CC12
157,C=CC1CC(C=C)C1,C=CC1CC(C=C)C1
158,C=CC1CC(C=C)C1,C=CC1CC(C=C)C1
159,[CH2]C1[CH]C1,[CH2]C1[CH]C1
160,C=CC1CCC2CC12,C=CC1CCC2CC12
161,C=CC1CC=CCC1,C=CC1CC=CCC1
162,C1=C\CC/C=C\CC/1,C1=CCCC=CCC1
163,CC1=CCC(C(C)C)C=C1,CC1=CCC(C(C)C)C=C1
164,C=C/C(C)=C\C=C\C(C)C,C=CC(C)=CC=CC(C)C
165,CC(C)CCCC(C)C1CCC2C3C=C4C=CCCC4(C)C3CCC12C,CC(C)CCCC(C)C1CCC2C3C=C4C=CCCC4(C)C3CCC12C
166,C=C(C(=C)c1ccccc1)c1ccccc1,C=C(C(=C)c1ccccc1)c1ccccc1
167,c1ccc(/C2=C(\c3ccccc3)CC/C(c3ccccc3)=C(/c3ccccc3)CC2)cc1,c1ccc(C2=C(c3ccccc3)CCC(c3ccccc3)=C(c3ccccc3)CC2)cc1
168,c1ccc(C23CCC2(c2ccccc2)C2(c4ccccc4)CCC32c2ccccc2)cc1,c1ccc(C23CCC2(c2ccccc2)C2(c4ccccc4)CCC32c2ccccc2)cc1
169,c1ccc(C2=C(c3ccccc3)CC2)cc1,c1ccc(C2=C(c3ccccc3)CC2)cc1
170,C1=CC2C=CC=CC2C=C1,C1=CC2C=CC=CC2C=C1
171,C1=CC2C3C=CC4C1C4C23,C1=CC2C3C=CC4C1C4C23
172,C1=CC2C=CC=CC2C=C1,C1=CC2C=CC=CC2C=C1
173,C=C/C=C\C=C,C=CC=CC=C
174,C=C(Cl)Cl,C=C(Cl)Cl
175,C=CC1CCC1(Cl)Cl,C=CC1CCC1(Cl)Cl
176,ClC1(Cl)CC=CCC1,ClC1(Cl)CC=CCC1
177,FC(F)=C(Cl)Cl,FC(F)=C(Cl)Cl
178,C=CC1CC(F)(F)C1(Cl)Cl,C=CC1CC(F)(F)C1(Cl)Cl
179,C=C(C#N)OC(C)=O,C=C(C#N)OC(C)=O
180,Cl/C=C\Cl,ClC=CCl
181,Cl/C=C/Cl,ClC=CCl
182,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl
183,C=CC(=C)C/C=C\C,C=CC(=C)CC=CC
184,C=C1CC2CC1C2C,C=C1CC2CC1C2C
185,C=C1CC2CC1C2C,C=C1CC2CC1C2C
186,C=CC(=C)C/C=C/C,C=CC(=C)CC=CC
187,C=CCC(=C)C=C,C=CCC(=C)C=C
188,C=C1CC2CC1C2,C=C1CC2CC1C2
189,C=CCC(=C)C=C,C=CCC(=C)C=C
190,[CH2]C1C[CH]C(=C)C1,[CH2]C1C[CH]C(=C)C1
191,C=C1CC2CC1C2,C=C1CC2CC1C2
192,C=C1[CH]CC[CH]C1,C=C1[CH]CC[CH]C1
193,C=C1CC2CCC12,C=C1CC2CCC12
194,C=CC(=C)C/C=C\C,C=CC(=C)CC=CC
195,C=CC(=C)C/C=C/C,C=CC(=C)CC=CC
196,C=CC(=C)CC=C(C)C,C=CC(=C)CC=C(C)C
197,C=C1CC2CC1C2(C)C,C=C1CC2CC1C2(C)C
198,C=C/C=C/CC=C,C=CC=CCC=C
199,C=C/C=C\CC=C,C=CC=CCC=C
200,C=C/C=C/C(C)C=C,C=CC=CC(C)C=C
201,C=C/C=C\C(C)C=C,C=CC=CC(C)C=C
202,C=C(C)/C=C/CC(=C)C,C=C(C)C=CCC(=C)C
203,C=C(C)/C=C\CC(=C)C,C=C(C)C=CCC(=C)C
204,C=CCCC(=C)C=C,C=CCCC(=C)C=C
205,C=CC12CCC1CC2,C=CC12CCC1CC2
206,C=C1CCC2CC1C2,C=C1CCC2CC1C2
207,C=CCCC(=C)C=C,C=CCCC(=C)C=C
208,C=CC12CCC(C1)C2,C=CC12CCC(C1)C2
209,C1=CCC=C1,C1=CCC=C1
210,C=C(Cl)Cl,C=C(Cl)Cl
211,ClC1(Cl)CC2CC=CC21,ClC1(Cl)CC2CC=CC21
212,ClC1(Cl)C[C@@H]2C=C[C@H]1C2,ClC1(Cl)CC2C=CC1C2
213,FC(F)=C(Cl)Cl,FC(F)=C(Cl)Cl
214,FC1(F)C2CC=CC2C1(Cl)Cl,FC1(F)C2CC=CC2C1(Cl)Cl
215,FC1(F)[C@@H]2C=C[C@@H](C2)C1(Cl)Cl,FC1(F)C2C=CC(C2)C1(Cl)Cl
216,ClC(Cl)=C(Cl)Cl,ClC(Cl)=C(Cl)Cl
217,ClC1(Cl)C2C=CCC2C1(Cl)Cl,ClC1(Cl)C2C=CCC2C1(Cl)Cl
218,ClC1(Cl)[C@@H]2C=C[C@@H](C2)C1(Cl)Cl,ClC1(Cl)C2C=CC(C2)C1(Cl)Cl
219,ClC1C(Cl)C2CC=CC12,ClC1C(Cl)C2CC=CC12
220,ClC1C(Cl)C2CC=CC12,ClC1C(Cl)C2CC=CC12
221,ClC1C(Cl)C2CC=CC12,ClC1C(Cl)C2CC=CC12
222,ClC1C(Cl)C2CC=CC12,ClC1C(Cl)C2CC=CC12
223,O=[N+]([O-])C1=CCCCC1,O=[N+]([O-])C1=CCCCC1
224,O=C[Ar],O=C[Ar]
225,C=CC[C@@H](O)c1ccccc1,C=CCC(O)c1ccccc1
226,c1ccc(-c2ccccn2)cc1,c1ccc(-c2ccccn2)cc1
227,Cc1cccc2cccnc12,Cc1cccc2cccnc12
228,O=Cc1cccc2cccnc12,O=Cc1cccc2cccnc12
229,CCC(C)/C(C)=N/OC,CCC(C)C(C)=NOC
230,C[Si](C)(C)c1cc2c(cc1OS(=O)(=O)C(F)(F)F)c1ccc3cccc4c5cccc6ccc2c(c65)c1c34,C[Si](C)(C)c1cc2c(cc1OS(=O)(=O)C(F)(F)F)c1ccc3cccc4c5cccc6ccc2c(c65)c1c34
231,CC(C)[Si](C#Cc1c2ccccc2c(C#C[Si](C(C)C)(C(C)C)C(C)C)c2cc3cc(Br)c(Br)cc3cc12)(C(C)C)C(C)C,CC(C)[Si](C#Cc1c2ccccc2c(C#C[Si](C(C)C)(C(C)C)C(C)C)c2cc3cc(Br)c(Br)cc3cc12)(C(C)C)C(C)C
232,N#C[C-](O)c1ccccc1,N#C[C-](O)c1ccccc1
233,N#CC(O)(c1ccccc1)C([O])c1ccccc1,N#CC(O)(c1ccccc1)C([O])c1ccccc1
234,OCc1c2ccccc2cc2ccccc12,OCc1c2ccccc2cc2ccccc12
235,CC(C)(C)C1=CC(Br)(Br)C=C(C(C)(C)C)C1=O,CC(C)(C)C1=CC(Br)(Br)C=C(C(C)(C)C)C1=O
236,N[C+](N)N,N[C+](N)N
237,c1ccc(-c2c(-c3ccccc3)c(-c3ccccc3)c(-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)cc1,c1ccc(-c2c(-c3ccccc3)c(-c3ccccc3)c(-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)cc1
238,c1cc2c3cccc4c5cccc6c7cccc8c9cccc%10c%11cccc%12c(c1)c2c1c(c34)c(c56)c(c78)c(c%109)c1c%12%11,c1cc2c3cccc4c5cccc6c7cccc8c9cccc%10c%11cccc%12c(c1)c2c1c(c34)c(c56)c(c78)c(c%109)c1c%12%11
239,O=Cc1ccccc1C#Cc1ccccc1,O=Cc1ccccc1C#Cc1ccccc1
240,BrCc1cc(CBr)cc(CBr)c1,BrCc1cc(CBr)cc(CBr)c1
241,CC(C)(C)c1ccc2cc(C=O)c3ccc(C(C)(C)C)cc3c2c1,CC(C)(C)c1ccc2cc(C=O)c3ccc(C(C)(C)C)cc3c2c1
242,O=Cc1ccsc1,O=Cc1ccsc1
243,C[Si](C)(C)c1cc(OS(=O)(=O)C(F)(F)F)c([Si](C)(C)C)cc1OS(=O)(=O)C(F)(F)F,C[Si](C)(C)c1cc(OS(=O)(=O)C(F)(F)F)c([Si](C)(C)C)cc1OS(=O)(=O)C(F)(F)F
244,C[Si](C)(C)c1cc#ccc1OS(=O)(=O)C(F)(F)F,C[Si](C)(C)c1cc#ccc1OS(=O)(=O)C(F)(F)F
245,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54
246,C[Si](C)(C)c1cc2c(cc1OS(=O)(=O)C(F)(F)F)c1ccc3cccc4c5cccc6ccc2c(c65)c1c34,C[Si](C)(C)c1cc2c(cc1OS(=O)(=O)C(F)(F)F)c1ccc3cccc4c5cccc6ccc2c(c65)c1c34
247,c1cc2c(cc#1)c1ccc3cccc4c5cccc6ccc2c(c65)c1c34,c1cc2c(cc#1)c1ccc3cccc4c5cccc6ccc2c(c65)c1c34
248,c1cc2ccc3c4cc5c6cc7c(cc6c6cc8c(cc6c5cc4c4ccc5cccc6c(c1)c2c3c4c56)c1ccc2cccc3c4cccc5ccc8c(c54)c1c23)c1ccc2cccc3c4cccc5ccc7c(c54)c1c23,c1cc2ccc3c4cc5c6cc7c(cc6c6cc8c(cc6c5cc4c4ccc5cccc6c(c1)c2c3c4c56)c1ccc2cccc3c4cccc5ccc8c(c54)c1c23)c1ccc2cccc3c4cccc5ccc7c(c54)c1c23
249,Fc1ccc(F)c2c1c1c3ccccc3ccc1c1ccc3c4ccc5c6ccc7ccccc7c6c6c(F)ccc(F)c6c5c4ccc3c12,Fc1ccc(F)c2c1c1c3ccccc3ccc1c1ccc3c4ccc5c6ccc7ccccc7c6c6c(F)ccc(F)c6c5c4ccc3c12
250,c1cc2ccc3c4ccc5c6ccc7c8ccc9cccc%10c%11ccc%12c(c%11c8c9%10)c7c6c%12c6c7ccc8c(c1)c2c3c8c7c4c56,c1cc2ccc3c4ccc5c6ccc7c8ccc9cccc%10c%11ccc%12c(c%11c8c9%10)c7c6c%12c6c7ccc8c(c1)c2c3c8c7c4c56
